Year,Postal Life Insurance (PLI) - No. of Polices in Force,Postal Life Insurance (PLI) - No. of Polices in Force - % growth,Postal Life Insurance (PLI) - Sum Assured Amount,Postal Life Insurance (PLI) - Sum Assured Amount - % growth,Postal Life Insurance (PLI) - Corpus of Fund,Postal Life Insurance (PLI) - Corpus of Fund -  % growth,Rural Postal Life Insurance (RPLI) - No. of Polices in Force,Rural Postal Life Insurance (RPLI) - No. of Polices in Force - % growth,Rural Postal Life Insurance (RPLI) - Sum Assured Amount,Rural Postal Life Insurance (RPLI) - Sum Assured Amount - % growth,Rural Postal Life Insurance (RPLI) - Corpus of Fund,Rural Postal Life Insurance (RPLI) - Corpus of Fund -  % growth
2001-02,2008575,NA,11870.3,NA,5090.16,NA,1133013,NA,4403.92,NA,341.05,NA
2002-03,2098577,4.46,13676.8,15.21,5797.3,13.89,1795070,58.43,7464.53,69.5,510.69,49.74
2003-04,2208683,5.24,15917.61,16.38,6619.81,14.19,2666485,48.54,12385.11,65.92,756.48,48.13
2004-05,2857797,29.39,18747.21,17.77,7678.42,15.99,3796773,42.39,18895.93,52.57,1127.61,49.06
2005-06,3098248,8.41,22951.6,22.43,8933.69,16.35,4702776,23.86,25229.66,33.52,1624.77,44.09
2006-07,3297825,6.44,26753.17,16.56,10342.61,15.77,5246673,11.56,33865.65,34.23,2284.92,40.63
2007-08,3550084,7.65,31469,17.63,12081.71,16.81,6167928,17.56,41846.09,23.56,3003.78,31.46
2008-09,3841539,8.21,38403,22.03,14152.59,17.14,7356446,19.27,53072.1,26.82,3994.36,32.98
2009-10,4283302,11.5,51209.9,33.34,16656.02,17.68,9925103,34.91,59572.59,12.24,5524.69,38.31
2010-11,4686245,9.4,64077.9,25.12,19801.91,18.88,12203345,22.95,66132.23,11.01,6607.79,19.6
2011-12,5006060,6.82,76591.34,19.53,23010.55,16.21,13547355,11.01,69754.17,5.48,9141.44,38.34
2012-13,5219326,4.26,88896.47,16.07,28190,22.51,14664650,8.25,75154.07,7.74,11388.07,24.58
2013-14,5406093,3.58,102276.09,15.05,32716,16.06,15014314,2.38,79466.46,5.74,13352.01,17.25
2014-15,5242257,-3.03,109106.93,6.68,39536,20.85,15245387,1.54,82822.26,4.22,15771.55,18.12
2015-16,4930838,-5.94,109982.1,0.8,46302,17.12,14915652,-2.16,81733.73,-1.31,18113.78,14.85
2016-17,4680013,-5.09,113084.81,2.82,53688.43,15.95,14684096,-1.55,83983.46,2.75,20510.91,13.23
